wavelength,B,G,R
536,0.11231434407400565,0.8873664056837803,0.046556410243915214
537,0.10821467146691967,0.8859166492917411,0.04486351035475456
538,0.10431568686005067,0.8843989455920609,0.04324063648020564
539,0.10057832549820184,0.8828218957543272,0.04170357081201101
540,0.09694441288215366,0.8811843154863508,0.040268078499164285
541,0.09336629292188871,0.8794442672146542,0.038949896548490674
542,0.08984959519979842,0.8775492057391234,0.037756418001489434
543,0.086416782860026,0.8754465858348663,0.03667508863629772
544,0.08309013897896944,0.8730843185756241,0.03569043616070941
545,0.07988500828820154,0.8704466044829076,0.03478698828251843
546,0.07680790006454233,0.8675797213128947,0.03395006378282676
547,0.07386475063835166,0.8645360313744699,0.033184723043403454
548,0.07106070277274337,0.8613678969765176,0.032516667718400755
549,0.06838283029697041,0.8581144549392846,0.031972570581651524
550,0.0658002392540577,0.8547619702279198,0.0315791044069886
551,0.06328126234951058,0.8512834973643792,0.03135723252198041
552,0.06079432628702617,0.8476532726056579,0.031284208341020546
553,0.05832659614017879,0.8438745800569025,0.03131708603301624
554,0.055906475296436935,0.8399808289499293,0.03141281069987484
555,0.05356785975453943,0.8360049588372996,0.031528362754179806
556,0.05134464551322511,0.8318886814437572,0.031677208631423925
557,0.04926942375085252,0.8274431169671066,0.032043926060900466
558,0.04734694427387616,0.8224704724798114,0.032845370209412895
559,0.045555269978846125,0.8169239565799267,0.034298396243764635
560,0.04387138996415545,0.8110569594966858,0.03663390990306198
561,0.042272293328197166,0.8051501057416671,0.040191094458377985
562,0.04073712283099733,0.79937159330797,0.04535945493598977
563,0.039259679362582046,0.7937991895640498,0.052548698596070975
564,0.037839871486504695,0.788283395737624,0.06445822569812656
565,0.03647762795108745,0.7824416287088891,0.08591736417206303
566,0.03517288302186204,0.7761037541404617,0.11074804311961345
567,0.03392886274460655,0.7695664541996845,0.13487912941298585
568,0.0327576423186929,0.7630662223104595,0.1569829085121464
569,0.03167276869456665,0.7561675281197974,0.18205907874571528
570,0.030687788822673322,0.7482815693051335,0.2060970257553812
571,0.029815831186599435,0.7399428398806701,0.2308632075068836
572,0.029057173264528068,0.7321606184638484,0.25688868101177836
573,0.028397143512626375,0.724597366502435,0.2824312528259467
574,0.02782022930652679,0.7168784311301581,0.3075579293518964
575,0.02731091802186173,0.7090708518534905,0.3324781312281913
576,0.026854116170367016,0.7016336465321839,0.3585388079449308
577,0.026438398567923925,0.6946405688837961,0.37981774538953766
578,0.026054237442493595,0.6874128513001097,0.40621336801172964
579,0.025692120962374426,0.679957204199561,0.4314502226815094
580,0.025342537429570676,0.6723441453670779,0.4637017489702382
581,0.02499697660112455,0.6640831836365185,0.4843320474511101
582,0.02465033812935732,0.6564217598467085,0.5150216488990709
583,0.024298246768994593,0.6492334643409537,0.5361225411471411
584,0.023936327274761967,0.6353163710363312,0.5631742386357635
585,0.023560297788549636,0.623760439460959,0.5894253257960368
586,0.023170560797156032,0.6190404574742112,0.6157831985242448
587,0.022774295346044433,0.614321100101031,0.6424648098192891
588,0.02237921027737913,0.6026726147968852,0.6693817518441499
589,0.021993014433324406,0.5838505123467976,0.6950809197950166
590,0.02162268884768856,0.5743222606232721,0.7261866817078749
591,0.021266695337747974,0.5630749457453836,0.7499396758422289
592,0.020917971572506456,0.5486684905982705,0.7712289937218363
593,0.020569361891128214,0.5351596187670534,0.7855779291723792
594,0.020213710632777437,0.5133333766667024,0.7960295441928494
595,0.019846665244636023,0.49793427059277234,0.8050011061623225
596,0.019476135529804005,0.4809612037079555,0.8124911033669815
597,0.01911338348264979,0.4651226629000793,0.8190702190427808
598,0.018769671178951657,0.4540903234392967,0.8254632101886317
599,0.018456156561879742,0.4420065199038405,0.8312375738929021
600,0.018174087719033474,0.4240491876445874,0.83577331810787
601,0.017906766260271736,0.4089176156037952,0.839076272539634
602,0.017635602399123356,0.39875692461676254,0.8414677367186326
603,0.01734200634911715,0.38698213631811074,0.8432714221764898
604,0.017009110186831326,0.3740520651816804,0.8447769211646527
605,0.01664787842108224,0.3621177121558891,0.8460500392473419
606,0.016291810688135698,0.3511043446595726,0.8470663988826116
607,0.015975054200417206,0.3397657118252688,0.8478013739880562
608,0.01573175617035226,0.3289552128650738,0.8482303703567005
609,0.015588491679686775,0.3186583914672093,0.8483462012062349
610,0.015529098036158831,0.30793520292321797,0.8481878654666015
611,0.015522433024163357,0.2988875704257732,0.8478019359187915
612,0.015537338336710189,0.2920973465136079,0.8472349853437963
613,0.015542718061580835,0.284426875669892,0.846533074626925
614,0.015522448132213155,0.2741329873847056,0.8457267200866273
615,0.01549470875612442,0.2644208019104387,0.8448284556005402
616,0.015482464517155117,0.25638940528513066,0.8438498123295688
617,0.015508679999145744,0.24821989292825175,0.8428023214346188
618,0.015595992738885666,0.2401833072216859,0.8416983350084077
619,0.01575933428506535,0.23271134118886627,0.8405573192703149
620,0.016005826622070084,0.22549274534727348,0.839402390350537
621,0.01634224397083517,0.2191109864122392,0.838256694154844
622,0.01677536055229589,0.2141385973575248,0.8371433755402953
623,0.017311210535613523,0.21000529218255604,0.8360795309851506
624,0.01795033015470509,0.2059832297364685,0.8350619776740298
