wv,Eu,Er,Ho,Tb,Sm,Dy,Tm
247.99,4.68E-06,-2.95E-05,-2.31E-05,-4.45E-06,-9.19E-05,5.25E-05,-8.34E-06
248.19,1.14E-06,-2.94E-05,-2.08E-05,-6.51E-06,-0.00011153,3.99E-05,-6.82E-06
248.4,1.10E-06,-2.65E-05,-3.01E-05,-1.45E-05,-0.00013115,2.73E-05,-1.01E-07
248.6,6.80E-06,-2.21E-05,-3.19E-05,-1.94E-05,-0.00013631,2.22E-05,3.50E-07
248.81,6.82E-06,-2.15E-05,-2.31E-05,-1.23E-05,-0.000114,3.16E-05,-3.42E-07
249.02,4.86E-06,-1.47E-05,-2.37E-05,-2.11E-05,-9.17E-05,4.11E-05,-6.12E-07
249.22,3.92E-06,-5.36E-06,-2.14E-05,-2.02E-05,-6.94E-05,5.05E-05,9.65E-07
249.43,6.34E-06,8.02E-06,-2.52E-05,-2.26E-05,-6.20E-05,4.46E-05,6.49E-06
249.63,8.56E-06,3.41E-06,-2.10E-05,-1.80E-05,-6.36E-05,2.96E-05,4.02E-06
249.84,6.48E-06,8.60E-06,-2.63E-05,-2.07E-05,-6.52E-05,1.45E-05,9.96E-06
250.05,6.72E-06,1.44E-06,-2.79E-05,-2.76E-05,-6.68E-05,-5.58E-07,6.38E-06
250.25,1.06E-05,6.45E-06,-2.85E-05,-1.91E-05,-5.90E-05,-1.44E-05,7.93E-06
250.46,1.48E-05,4.10E-06,-2.22E-05,-1.45E-05,-5.01E-05,-2.81E-05,4.86E-06
250.66,1.10E-05,-1.10E-06,-2.40E-05,-1.67E-05,-4.12E-05,-4.18E-05,6.07E-06
250.87,9.09E-06,-1.15E-06,-2.37E-05,-1.78E-05,-3.18E-05,-5.35E-05,8.59E-06
251.08,1.33E-05,-2.70E-06,-2.41E-05,-2.55E-05,-1.96E-05,-5.65E-05,9.41E-06
251.28,1.46E-05,-4.45E-06,-2.48E-05,-2.63E-05,-7.54E-06,-5.95E-05,1.30E-05
251.49,6.07E-06,2.86E-06,-2.85E-05,-2.62E-05,4.56E-06,-6.24E-05,1.86E-05
251.69,6.08E-07,5.24E-06,-3.21E-05,-2.79E-05,2.23E-05,-5.10E-05,2.05E-05
251.9,2.15E-06,7.69E-06,-3.11E-05,-2.84E-05,4.66E-05,-2.33E-05,2.36E-05
252.11,1.54E-06,8.37E-06,-2.65E-05,-1.85E-05,7.08E-05,4.40E-06,2.00E-05
252.31,-5.18E-06,4.17E-06,-2.26E-05,-1.90E-05,9.50E-05,3.21E-05,1.79E-05
252.52,-8.36E-06,2.56E-06,-2.53E-05,-2.34E-05,8.99E-05,3.60E-05,1.63E-05
252.73,-7.50E-06,1.40E-06,-2.48E-05,-1.95E-05,7.51E-05,3.19E-05,1.53E-05
252.93,-5.02E-06,1.21E-06,-2.24E-05,-1.79E-05,6.03E-05,2.79E-05,1.24E-05
253.14,-5.68E-06,5.06E-06,-2.48E-05,-1.24E-05,4.65E-05,2.40E-05,1.70E-05
253.34,-1.07E-05,9.08E-07,-2.11E-05,-1.10E-05,5.88E-05,2.29E-05,1.33E-05
253.55,-8.52E-06,3.91E-06,-1.54E-05,-9.99E-06,7.12E-05,2.18E-05,9.00E-06
253.76,-6.03E-06,3.93E-06,-1.22E-05,-1.08E-05,8.36E-05,2.07E-05,8.95E-06
253.96,-7.64E-06,-7.40E-07,-7.38E-06,-5.57E-06,8.80E-05,2.76E-05,2.83E-06
254.17,-7.68E-06,2.72E-06,-1.77E-06,1.29E-06,7.56E-05,5.10E-05,5.27E-06
254.38,-3.28E-06,1.03E-05,-3.65E-06,2.16E-06,6.32E-05,7.44E-05,5.85E-06
254.58,-2.57E-06,9.91E-06,-1.51E-07,2.40E-06,5.08E-05,9.79E-05,4.26E-06
254.79,-7.41E-07,1.10E-05,-3.24E-06,-5.40E-06,4.67E-05,8.43E-05,7.80E-06
254.99,4.96E-06,5.73E-06,-5.38E-06,-5.13E-06,4.77E-05,4.72E-05,4.51E-06
255.2,1.72E-06,5.51E-07,-7.67E-06,-2.53E-06,4.88E-05,9.98E-06,2.51E-06
255.41,8.57E-06,5.59E-06,-9.82E-06,-5.01E-06,4.99E-05,-2.72E-05,-7.10E-06
255.61,9.39E-06,3.43E-06,-6.20E-06,-5.51E-06,4.47E-05,-6.08E-06,-7.15E-06
255.82,1.14E-05,3.05E-06,-5.24E-06,-4.37E-06,3.87E-05,2.17E-05,-4.44E-06
256.03,8.12E-06,6.45E-06,-6.80E-06,-8.61E-06,3.28E-05,4.94E-05,-2.32E-06
256.23,1.04E-05,1.08E-05,8.93E-06,-6.72E-06,2.40E-05,7.17E-05,-6.40E-05
256.44,1.24E-05,9.80E-06,6.21E-06,-1.90E-05,2.40E-06,7.04E-05,-6.18E-05
